102,エウロペ,2020/4/25,21:31:53,27412,0
103,ジャックちゃん,2020/4/25,21:31:53,12669,0.5
104,モーさん,2020/4/25,21:31:53,11751,0.25
105,宝具5,2020/4/25,21:31:53,25662,0.2
106,ジナコ,2020/4/25,21:31:53,-1,0
107,星5鯖,2020/4/25,21:31:53,19841,0
108,邪ンヌ,2020/4/25,21:31:53,-1,0
109,孔明一択,2020/4/25,21:31:53,-1,0
110,ブラダマンテ,2020/4/25,21:31:53,-1,0
111,マーリン,2020/4/25,21:31:53,11776,0.45
112,玉藻ちゃん,2020/4/25,21:31:53,-1,0
113,孔明先生,2020/4/25,21:31:53,-1,0
114,正式加入,2020/4/25,21:31:53,123826,0.333333333
115,宝具2,2020/4/25,21:31:53,-1,0.2
116,星五配布,2020/4/25,21:31:53,-1,0
117,ナポレオン,2020/4/25,21:31:53,-1,0.4
118,ワイルドスピード,2020/4/25,21:31:53,-1,0.3
119,星5交換,2020/4/25,21:31:53,41913,0.2
120,孔明さん,2020/4/25,21:31:53,-1,0
121,アーモンドアイ,2020/4/25,21:31:53,-1,0
122,スナイデル,2020/4/25,21:31:53,-1,0.1
123,ころんくん,2020/4/25,21:31:53,29200,0
124,宝具4,2020/4/25,21:31:53,-1,0.2
125,イシュタル,2020/4/25,21:31:53,-1,0
126,宝具3,2020/4/25,21:31:53,-1,0.4
127,星5配布,2020/4/25,21:34:12,111573,0.2
128,武蔵ちゃん,2020/4/25,21:34:12,36608,0
129,カルナ,2020/4/25,21:34:12,24227,0
130,ワイスピ,2020/4/25,21:34:12,13242,0.4
131,アルトリア,2020/4/25,21:34:12,12967,0
132,エウロペ,2020/4/25,21:34:12,27412,0
133,ジャックちゃん,2020/4/25,21:34:12,12669,0.5
134,モーさん,2020/4/25,21:34:12,11751,0.25
135,宝具5,2020/4/25,21:34:12,25662,0.2
136,ジナコ,2020/4/25,21:34:12,-1,0
137,星5鯖,2020/4/25,21:34:12,19841,0
138,邪ンヌ,2020/4/25,21:34:12,-1,0
139,孔明一択,2020/4/25,21:34:12,-1,0
140,ブラダマンテ,2020/4/25,21:34:12,-1,0
141,マーリン,2020/4/25,21:34:12,11776,0.45
142,玉藻ちゃん,2020/4/25,21:34:12,-1,0
143,孔明先生,2020/4/25,21:34:12,-1,0
144,正式加入,2020/4/25,21:34:12,123826,0.333333333
145,宝具2,2020/4/25,21:34:12,-1,0.2
146,星五配布,2020/4/25,21:34:12,-1,0
147,ナポレオン,2020/4/25,21:34:12,-1,0.4
148,ワイルドスピード,2020/4/25,21:34:12,-1,0.3
149,星5交換,2020/4/25,21:34:12,41913,0.2
150,孔明さん,2020/4/25,21:34:12,-1,0
151,アーモンドアイ,2020/4/25,21:34:12,-1,0
152,スナイデル,2020/4/25,21:34:12,-1,0.1
153,ころんくん,2020/4/25,21:34:12,29200,0
154,宝具4,2020/4/25,21:34:12,-1,0.2
155,イシュタル,2020/4/25,21:34:12,-1,0
156,宝具3,2020/4/25,21:34:12,-1,0.4
