"n_tweetid","s_userid","s_tweettext","n_retweetvolume","n_favoritevolume","s_tweeturl","s_tweettime","r_tweetsentimentscore","r_tweetsentimentsmagnitude","n_tweetvalidstrcount"
14,"@fgoproject","【カルデア広報局より】◆【予告】2000万DL突破キャンペーン開催予定！正式加入条件をクリアして対象の★5サーヴァント1騎を獲得しよう！さらに、期間内にこのツイートが10万リツイート達成で聖晶石30個プレゼント！詳しくは→ ",125023,54095,"https://twitter.com/fgoproject/status/1254002799215472644","2020-04-25 11:02:20",0.1,1.4,112
15,"@azurlane_staff","【お知らせ】◆特型艦建造にて空母「赤城ちゃん」「ツェッペリンちゃん」、◆大型艦建造にて巡洋戦艦「比叡ちゃん」が常設実装中！◆◆また、期間限定で開催中の友好度イベント「リトル・ロイヤルナイト」にて◆巡洋戦艦「リトル・レナウン」を正式加入可能！◆◆ぜひ、ご確認ください！◆ ",1553,3570,"https://twitter.com/azurlane_staff/status/1253928229590593538","2020-04-25 06:06:01",0.4,2.4,135
16,"@azurlane_staff","【イベント】◆期間限定イベント『リトル・ロイヤルナイト』、開催中！◆◆海域に出撃し友好度を稼ぎ、仮加入中の「リトル・レナウン」を正式加入させましょう！◆「リトル・レナウン」を連れて海域をクリアすると、もらえる友好度もUP！◆◆ぜひ、ご確認ください！◆ ",722,2018,"https://twitter.com/azurlane_staff/status/1253541905469669376","2020-04-24 04:30:54",0.5,2.6,126
17,"@comic_natalie","アニメ「FGO」賢王ギルガメッシュ、マーリンのフレグランスが受注生産で登場◆◆◆ ",1639,2642,"https://twitter.com/comic_natalie/status/1251789152753864704","2020-04-19 08:26:05",0.7,0.7,41
18,"@dengekionline","どんな香り？ 『FGO』術ギル、マーリンをイメージしたフレグランス ",103,196,"https://twitter.com/dengekionline/status/1251782603788582912","2020-04-19 08:00:04",0.2,0.4,34
19,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ",830,3910,"https://twitter.com/fgoproject/status/1251708606673649665","2020-04-19 03:06:02",0.2,1.2,96
20,"@animateinfo","ポイント景品【「薄桜鬼 真改 銀星ノ抄」ぷに1.5使用 ハート形缶バッジ3個セット(斎藤一、藤堂平助、原田左之助)】◆「薄桜鬼 真改 銀星ノ抄」の発売に合わせて＜7/30＞より交換開始！◆詳細はコチラ ",127,304,"https://twitter.com/animateinfo/status/1252087368393293824","2020-04-20 04:11:05",0.2,0.6,101
21,"@tobikan_jp","ラメセス2世像の奥には皇帝ナポレオンの肖像画。見る人を圧倒するような表現をお楽しみいただくエントランスでした。左の壁にはインドの細密画も。古今東西の表現をくらべて見られる点も、 の見どころでした。会場がまぼろしとなったため、模型でイメージをご紹介します。 ",155,581,"https://twitter.com/tobikan_jp/status/1253881501600477184","2020-04-25 03:00:20",0.4,2.4,128
22,"@Ryohei_h11","スナイデル、コバチッチ、カッサーノ ",6,19,"https://twitter.com/Ryohei_h11/status/1254015089184608257","2020-04-25 11:51:10",0,0,18
23,"@fashionpressnet","スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ",83,706,"https://twitter.com/fashionpressnet/status/1251737318857125889","2020-04-19 05:00:07",0.1,0.1,42
